"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 19 16:41:09 UZT 2023","Sat Aug 19 16:41:28 UZT 2023","19193","","Материал","Конструктор тест-тренажера","TestTrainAddingQuestionsTests","CheckAddQuestionInTestTrainSort","Конструктор теста-тренажера: можно добавить вопрос с типом ответа “Сортировка”",""
"passed","Fri Aug 18 22:52:12 UZT 2023","Fri Aug 18 22:52:19 UZT 2023","6572","","Материал","Конструктор теста","TestQuestionAnswersValidationTests","CheckRemoveCommentInTestAnswer","Конструктор теста: можно удалить комментарий к варианту ответа",""
"passed","Fri Aug 18 23:09:31 UZT 2023","Fri Aug 18 23:09:43 UZT 2023","12057","Активность","Контрольная","Редактирование контрольной","TestActivityAddingTests","CheckAddTextMaterialToTestActivity","Редактирование контрольной: можно добавить материал типа текст из библиотеки",""
"passed","Fri Aug 18 23:13:01 UZT 2023","Fri Aug 18 23:13:04 UZT 2023","2778","Активность","Контрольная","Прохождение теста","TestActivityPassingTests","ImpossiblePassTestAfterTheEndOfActivity","Прохождение теста: невозможно пройти тест после окончания активности",""
"passed","Sat Aug 19 16:43:24 UZT 2023","Sat Aug 19 16:43:42 UZT 2023","18045","","Материал","Конструктор тест-тренажера","TestTrainQuestionAnswersValidationTests","AddAnswerForQuestionInTestTrain","Конструктор теста-тренажера: можно добавить еще один вариант ответа в вопрос с типом ответа 'Выбор из вариантов'",""
"passed","Sat Aug 19 16:39:04 UZT 2023","Sat Aug 19 16:40:02 UZT 2023","57435","","Материал","Конструктор тест-тренажера","TestTrainAddingQuestionsTests","AddQuestionInTestTrain","Конструктор теста-тренажера: можно добавить вопрос с типом ответа “Выбор из вариантов”",""
"passed","Fri Aug 18 22:52:04 UZT 2023","Fri Aug 18 22:52:12 UZT 2023","8287","","Материал","Конструктор теста","TestQuestionAnswersValidationTests","CheckAddCommentInTestAnswer","Конструктор теста: можно добавить комментарий к варианту ответа",""
"passed","Fri Aug 18 23:10:52 UZT 2023","Fri Aug 18 23:10:57 UZT 2023","5369","Активность","Контрольная","Редактирование контрольной","TestActivityEditingTests","ErrorWithIncorrectValueNumberOfAttemptsInTestActivity","Редактирование контрольной: отображение ошибки валидации для поля 'Количество попыток сдачи' с значением '0'",""
"passed","Fri Aug 18 22:49:40 UZT 2023","Fri Aug 18 22:49:51 UZT 2023","11415","","Материал","Конструктор теста","TestBlocksAndVariantsValidationTests","CheckRemoveQuestionFromTest","Конструктор теста: можно удалить вопрос",""
"passed","Fri Aug 18 23:13:16 UZT 2023","Fri Aug 18 23:13:31 UZT 2023","14262","Активность","Контрольная","Результат прохождения теста","TestActivityResultTests","StudentCanViewDetailedResultInfo","Результат прохождения: студент может просматривать подробную информацию о результатах, если включена соответственная опция",""
"passed","Fri Aug 18 22:50:12 UZT 2023","Fri Aug 18 22:50:26 UZT 2023","13819","","Материал","Конструктор теста","TestBlocksAndVariantsValidationTests","DeleteTestBlock","Конструктор теста: можно удалить блок",""
"passed","Fri Aug 18 22:51:37 UZT 2023","Fri Aug 18 22:51:46 UZT 2023","9163","","Материал","Конструктор теста","TestQuestionAnswersValidationTests","CheckAddOneMoreAnswerVariantInQuestionWithFreeAnswerExactMatch","Конструктор теста: можно добавить еще один вариант ответа в вопрос с типом ответа 'Свободный ответ - точное совпадение'",""
"passed","Sat Aug 19 16:46:37 UZT 2023","Sat Aug 19 16:46:45 UZT 2023","8267","","Материал","Конструктор тест-тренажера","TestTrainSettingsValidationTests","RemoveAuthorInTestTrain","Конструктор теста-тренажера: можно удалить автора",""
"passed","Fri Aug 18 22:49:21 UZT 2023","Fri Aug 18 22:49:29 UZT 2023","7780","","Материал","Конструктор теста","TestBlocksAndVariantsValidationTests","CheckDuplicateTestQuestion","Конструктор теста: можно дублировать вопрос",""
"passed","Fri Aug 18 23:10:06 UZT 2023","Fri Aug 18 23:10:16 UZT 2023","10105","Активность","Контрольная","Создание контрольной","TestActivityCreatingTests","CheckExecModeTestActivity","Создание контрольной: можно создать контрольную с режимом выполнения 'Индивидуальный'",""
"passed","Fri Aug 18 22:46:53 UZT 2023","Fri Aug 18 22:47:13 UZT 2023","19740","","Материал","Конструктор теста","TestAddingQuestionsTests","CheckAddQuestionWithFreeAnswerRange","Конструктор теста: можно добавить вопрос с типом ответа “Свободный ответ” - “Диапазон”",""
"passed","Fri Aug 18 22:54:18 UZT 2023","Fri Aug 18 22:54:29 UZT 2023","11358","","Материал","Конструктор теста","TestSettingsValidationTests","EditTestDescription","Конструктор теста: можно изменить описание теста",""
"passed","Fri Aug 18 23:11:15 UZT 2023","Fri Aug 18 23:11:25 UZT 2023","10167","Активность","Контрольная","Редактирование контрольной","TestActivityEditingTests","EditingGradeFieldsInTestActivity","Редактирование контрольной: можно переключать значения в поле 'Оценка'",""
"passed","Fri Aug 18 23:12:25 UZT 2023","Fri Aug 18 23:12:33 UZT 2023","7764","Активность","Контрольная","Прохождение теста","TestActivityPassingTests","PassingTest","Прохождение теста: можно пройти тест командной контрольной",""
"passed","Sat Aug 19 16:45:33 UZT 2023","Sat Aug 19 16:45:41 UZT 2023","7540","","Материал","Конструктор тест-тренажера","TestTrainQuestionsValidationTests","RemoveCommentInTestTrainQuestion","Конструктор теста-тренажера: можно удалить комментарий к вопросу",""
"passed","Fri Aug 18 23:13:40 UZT 2023","Fri Aug 18 23:13:46 UZT 2023","6375","Активность","Контрольная","Результат прохождения теста","TestActivityResultTests","ClockIconAndTruFalseButtonsAreDisplayed","Результат прохождения: отображается иконка часы, кнопки верно и неверно в вопросах с типом ответа свободный ответ или файл",""
"passed","Sat Aug 19 16:44:00 UZT 2023","Sat Aug 19 16:44:09 UZT 2023","9577","","Материал","Конструктор тест-тренажера","TestTrainQuestionAnswersValidationTests","CheckAddOneMoreOptionInSortingTestQuestionInTestTrain","Конструктор теста-тренажера: можно добавить еще одну опцию в вопрос с типом ответа 'Сортировка'",""
"passed","Fri Aug 18 22:53:37 UZT 2023","Fri Aug 18 22:53:47 UZT 2023","9369","","Материал","Конструктор теста","TestQuestionsValidationTests","CheckEditTestQuestionPionts","Конструктор теста: можно изменить баллы для вопроса",""
"passed","Sat Aug 19 16:41:39 UZT 2023","Sat Aug 19 16:41:52 UZT 2023","13069","","Материал","Конструктор тест-тренажера","TestTrainBlocksAndVariantsValidationTests","EditTestTrainBlockName","Конструктор теста-тренажера: можно переименовать блок",""
"passed","Fri Aug 18 23:10:16 UZT 2023","Fri Aug 18 23:10:26 UZT 2023","9161","Активность","Контрольная","Создание контрольной","TestActivityCreatingTests","CheckExecModeTestActivity","Создание контрольной: можно создать контрольную с режимом выполнения 'Командный'",""
"passed","Fri Aug 18 22:49:51 UZT 2023","Fri Aug 18 22:49:59 UZT 2023","7853","","Материал","Конструктор теста","TestBlocksAndVariantsValidationTests","CheckRenameTestBlock","Конструктор теста: можно переименовать блок",""
"passed","Fri Aug 18 23:18:03 UZT 2023","Fri Aug 18 23:18:21 UZT 2023","17659","Активность","Контрольная","Страница контрольной","TestCommandActivityTests","EditCommandToControlTypeActivityInCommandMode","Страница командной контрольной: можно редактировать команду",""
"passed","Fri Aug 18 23:17:11 UZT 2023","Fri Aug 18 23:17:24 UZT 2023","13720","Активность","Контрольная","Прохождение теста","TestActivityStatusWithTwoOrMoreAttemptsTests","ResultOfPassingDependOnSettings","Страница индивидуальной контрольной: результат тестирования из попытках зависеть от настройки 'За последнюю попытку'",""
"passed","Fri Aug 18 23:11:46 UZT 2023","Fri Aug 18 23:11:52 UZT 2023","6426","Активность","Контрольная","Редактирование контрольной","TestActivityEditingTests","SwitchCheckboxDisplayStudentsDetailedResultInfoInTestActivity","Редактирование контрольной: можно отметить или снять галку с чекбокса 'Отображать студентам подробную информацию о результатах'",""
"passed","Fri Aug 18 22:49:08 UZT 2023","Fri Aug 18 22:49:21 UZT 2023","13448","","Материал","Конструктор теста","TestBlocksAndVariantsValidationTests","CheckRemoveTestVariant","Конструктор теста: можно удалить вариант",""
"passed","Fri Aug 18 23:12:33 UZT 2023","Fri Aug 18 23:12:44 UZT 2023","11126","Активность","Контрольная","Прохождение теста","TestActivityPassingTests","AfterPassingTheNumberOfAttemptsDecreased","Прохождение теста: после прохождения количество попыток уменьшилось на один",""
"passed","Fri Aug 18 22:52:26 UZT 2023","Fri Aug 18 22:52:33 UZT 2023","7109","","Материал","Конструктор теста","TestQuestionAnswersValidationTests","CheckRemoveAnswerFromFreeAnswerExactMatchQuestion","Конструктор теста: можно удалить вариант ответа из вопроса с типом ответа 'Свободный ответ' – 'Точное совпадение'",""
"passed","Fri Aug 18 23:11:39 UZT 2023","Fri Aug 18 23:11:46 UZT 2023","6148","Активность","Контрольная","Редактирование контрольной","TestActivityEditingTests","SuccessSaveWithPositiveValueMinThresholdInTestActivity","Редактирование контрольной: успешное сохранение при положительных значениях в поле 'Минимальный порог баллов'",""
